date,strategy,gross_pnl,net_pnl,costs,contracts,outcome,strike,premium,spy_close,market_conditions,risk_reward_ratio,position_rationale,strike_type
20240315,balanced_put_sale,-19.999999999997726,-23.749999999997716,3.7499999999999893,1,ASSIGNED,510.0,0.2,509.6,"{'favorable': True, 'daily_return': -0.5949478201501911, 'daily_range': 1.3377938164439809, 'volatility_level': 'MODERATE', 'market_sentiment': 'bearish'}",0.5000000000000284,"Range:1.34%, Buffer:$0.40",ITM
20240318,balanced_put_sale,30.500000000001364,26.69750000000136,3.8025000000000055,1,ASSIGNED,513.0,0.32,512.985,"{'favorable': True, 'daily_return': 0.3766681015927702, 'daily_range': 1.1867491096935776, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",21.333333333352737,"Range:1.19%, Buffer:$0.01",ITM
20240319,balanced_put_sale,14.000000000003638,10.28000000000362,3.7200000000000184,1,ASSIGNED,516.0,0.43,515.71,"{'favorable': True, 'daily_return': 0.6283049425354694, 'daily_range': 1.2566098850709277, 'volatility_level': 'MODERATE', 'market_sentiment': 'bullish'}",1.482758620689841,"Range:1.26%, Buffer:$0.29",ITM
20240322,balanced_put_sale,6.0,2.3200000000000003,3.6799999999999997,1,EXPIRED_WORTHLESS,521.0,0.06,521.21,"{'favorable': True, 'daily_return': -0.19340507831948048, 'daily_range': 2.8043736356324884, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",0.2857142857142362,"Range:2.80%, Buffer:$-0.21",OTM
20240325,balanced_put_sale,-5.00000000000182,-8.675000000001829,3.6750000000000087,1,ASSIGNED,520.0,0.18,519.77,"{'favorable': True, 'daily_return': -0.19010676703279997, 'daily_range': 1.3558837084261361, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",0.782608695652112,"Range:1.36%, Buffer:$0.23",ITM
20240326,balanced_put_sale,48.00000000000364,44.11000000000362,3.890000000000015,1,ASSIGNED,520.0,0.77,519.71,"{'favorable': True, 'daily_return': -0.24377135398671387, 'daily_range': 1.5394065031287372, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",2.6551724137934367,"Range:1.54%, Buffer:$0.29",ITM
20240403,balanced_put_sale,-44.00000000000318,-47.8700000000032,3.8700000000000188,1,ASSIGNED,520.0,0.15,519.41,"{'favorable': True, 'daily_return': 0.3070565061218025, 'daily_range': 0.74736394886254, 'volatility_level': 'LOW', 'market_sentiment': 'neutral'}",0.2542372881355795,"Range:0.75%, Buffer:$0.59",ITM
20240404,balanced_put_sale,141.0,136.645,4.35499999999999,1,EXPIRED_WORTHLESS,515.0,1.41,515.32,"{'favorable': True, 'daily_return': -1.1129874117285758, 'daily_range': 1.6541295670862766, 'volatility_level': 'MODERATE', 'market_sentiment': 'bearish'}",4.406249999999311,"Range:1.65%, Buffer:$-0.32",OTM
20240405,balanced_put_sale,5.0,1.3250000000000002,3.675,1,EXPIRED_WORTHLESS,518.0,0.05,518.48,"{'favorable': True, 'daily_return': 0.7892383655378988, 'daily_range': 1.5454298044399608, 'volatility_level': 'MODERATE', 'market_sentiment': 'bullish'}",0.10416666666666273,"Range:1.55%, Buffer:$-0.48",OTM
20240410,balanced_put_sale,-2.0000000000031823,-5.660000000003198,3.6600000000000152,1,ASSIGNED,513.0,0.07,512.91,"{'favorable': True, 'daily_return': -1.3501817552362785, 'daily_range': 2.0358509799396143, 'volatility_level': 'MODERATE', 'market_sentiment': 'bearish'}",0.7777777777775028,"Range:2.04%, Buffer:$0.09",ITM
20240411,balanced_put_sale,78.999999999995,74.95499999999502,4.044999999999973,1,ASSIGNED,519.0,0.86,518.93,"{'favorable': True, 'daily_return': 0.9198755348113388, 'daily_range': 1.590820692337613, 'volatility_level': 'MODERATE', 'market_sentiment': 'bullish'}",12.285714285705506,"Range:1.59%, Buffer:$0.07",ITM
20240412,balanced_put_sale,-14.999999999997272,-18.72499999999726,3.724999999999987,1,ASSIGNED,511.0,0.13,510.72,"{'favorable': True, 'daily_return': -1.492882768198127, 'daily_range': 1.8198125216988776, 'volatility_level': 'MODERATE', 'market_sentiment': 'bearish'}",0.46428571428575954,"Range:1.82%, Buffer:$0.28",ITM
20240415,balanced_put_sale,182.0,177.44,4.560000000000002,1,EXPIRED_WORTHLESS,506.0,1.82,506.29,"{'favorable': True, 'daily_return': -1.4290442536456156, 'daily_range': 2.914549383797681, 'volatility_level': 'MODERATE', 'market_sentiment': 'bearish'}",6.275862068965075,"Range:2.91%, Buffer:$-0.29",OTM
20240417,balanced_put_sale,130.00000000000205,125.70000000000203,4.300000000000011,1,ASSIGNED,502.0,1.51,501.79,"{'favorable': True, 'daily_return': -0.5056112939683457, 'daily_range': 2.982452313915214, 'volatility_level': 'MODERATE', 'market_sentiment': 'bearish'}",7.1904761904768915,"Range:2.98%, Buffer:$0.21",ITM
20240418,balanced_put_sale,26.999999999998636,23.214999999998643,3.784999999999993,1,ASSIGNED,500.0,0.38,499.89,"{'favorable': True, 'daily_return': -0.5273212082620357, 'daily_range': 1.1083694830262254, 'volatility_level': 'MODERATE', 'market_sentiment': 'bearish'}",3.454545454545026,"Range:1.11%, Buffer:$0.11",ITM
20240419,balanced_put_sale,85.0,80.925,4.075000000000003,1,EXPIRED_WORTHLESS,496.0,0.85,496.425,"{'favorable': True, 'daily_return': -0.21206882688751444, 'daily_range': 4.4846023960762125, 'volatility_level': 'HIGH', 'market_sentiment': 'neutral'}",1.9999999999999465,"Range:4.48%, Buffer:$-0.43",OTM
20240422,balanced_put_sale,72.0,67.99,4.010000000000005,1,EXPIRED_WORTHLESS,500.0,0.72,500.61,"{'favorable': True, 'daily_return': 0.7973421926910372, 'daily_range': 4.668277458975134, 'volatility_level': 'HIGH', 'market_sentiment': 'bullish'}",1.1803278688524326,"Range:4.67%, Buffer:$-0.61",OTM
20240424,balanced_put_sale,150.0,145.6,4.400000000000006,1,EXPIRED_WORTHLESS,505.0,1.5,505.41,"{'favorable': True, 'daily_return': -0.26443019240256044, 'daily_range': 5.114948199309327, 'volatility_level': 'HIGH', 'market_sentiment': 'neutral'}",3.6585365853656304,"Range:5.11%, Buffer:$-0.41",OTM
20240429,balanced_put_sale,7.000000000000001,3.315000000000001,3.685,1,EXPIRED_WORTHLESS,510.0,0.07,510.06,"{'favorable': True, 'daily_return': 0.07652010124197743, 'daily_range': 2.4878843173033545, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",1.1666666666666226,"Range:2.49%, Buffer:$-0.06",OTM
20240502,balanced_put_sale,8.49999999999863,4.807499999998637,3.6924999999999937,1,ASSIGNED,505.0,0.57,504.515,"{'favorable': True, 'daily_return': 0.21751221643954757, 'daily_range': 1.5583409479162469, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",1.1752577319587296,"Range:1.56%, Buffer:$0.49",ITM
20240515,balanced_put_sale,60.00000000000546,56.05000000000543,3.950000000000024,1,ASSIGNED,530.0,0.91,529.69,"{'favorable': True, 'daily_return': 1.09552438209753, 'daily_range': 1.7310812100391353, 'volatility_level': 'MODERATE', 'market_sentiment': 'bullish'}",2.935483870968259,"Range:1.73%, Buffer:$0.31",ITM
20240516,balanced_put_sale,29.000000000005453,25.205000000005427,3.7950000000000266,1,ASSIGNED,529.0,0.6,528.69,"{'favorable': True, 'daily_return': -0.40501846130660407, 'daily_range': 1.5965262602667514, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",1.9354838709680826,"Range:1.60%, Buffer:$0.31",ITM
20240520,balanced_put_sale,28.000000000000004,24.210000000000004,3.789999999999999,1,EXPIRED_WORTHLESS,530.0,0.28,530.06,"{'favorable': True, 'daily_return': 0.05474073654604142, 'daily_range': 0.5540140060780991, 'volatility_level': 'LOW', 'market_sentiment': 'neutral'}",4.666666666670912,"Range:0.55%, Buffer:$-0.06",OTM
20240522,balanced_put_sale,117.0,112.765,4.234999999999999,1,EXPIRED_WORTHLESS,529.0,1.17,529.83,"{'favorable': True, 'daily_return': -0.3085780947184199, 'daily_range': 4.03597569006717, 'volatility_level': 'HIGH', 'market_sentiment': 'neutral'}",1.409638554216798,"Range:4.04%, Buffer:$-0.83",OTM
20240523,balanced_put_sale,16.0,12.27,3.7300000000000004,1,EXPIRED_WORTHLESS,526.0,0.16,526.1,"{'favorable': True, 'daily_return': -1.3500843802737545, 'daily_range': 1.741983873992118, 'volatility_level': 'MODERATE', 'market_sentiment': 'bearish'}",1.5999999999996362,"Range:1.74%, Buffer:$-0.10",OTM
20240529,balanced_put_sale,64.0,60.03,3.969999999999999,1,EXPIRED_WORTHLESS,526.0,0.64,526.1,"{'favorable': True, 'daily_return': -0.3371978479957515, 'daily_range': 1.2578616352201233, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",6.399999999998545,"Range:1.26%, Buffer:$-0.10",OTM
20240530,balanced_put_sale,71.00000000000138,66.99500000000137,4.00500000000001,1,ASSIGNED,523.0,1.1,522.61,"{'favorable': True, 'daily_return': -0.08985241263287208, 'daily_range': 1.0218322245163098, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",2.8205128205129193,"Range:1.02%, Buffer:$0.39",ITM
20240531,balanced_put_sale,11.0,7.295,3.705,1,EXPIRED_WORTHLESS,527.0,0.11,527.08,"{'favorable': True, 'daily_return': 0.915182845108192, 'daily_range': 2.268811028144749, 'volatility_level': 'MODERATE', 'market_sentiment': 'bullish'}",1.3749999999992966,"Range:2.27%, Buffer:$-0.08",OTM
20240606,balanced_put_sale,28.999999999996817,25.204999999996833,3.794999999999984,1,ASSIGNED,535.0,0.63,534.66,"{'favorable': True, 'daily_return': -0.044868199663490205, 'daily_range': 0.9646662927649969, 'volatility_level': 'LOW', 'market_sentiment': 'neutral'}",1.8529411764704147,"Range:0.96%, Buffer:$0.34",ITM
20240607,balanced_put_sale,42.0,38.14,3.8599999999999994,1,EXPIRED_WORTHLESS,534.0,0.42,534.01,"{'favorable': True, 'daily_return': -0.24471344242697057, 'daily_range': 6.936206381229917, 'volatility_level': 'HIGH', 'market_sentiment': 'neutral'}",42.0000000000382,"Range:6.94%, Buffer:$-0.01",OTM
20240610,balanced_put_sale,10.0,6.300000000000001,3.6999999999999993,1,EXPIRED_WORTHLESS,535.0,0.1,535.66,"{'favorable': True, 'daily_return': 0.37100884425124014, 'daily_range': 7.1326637685504455, 'volatility_level': 'HIGH', 'market_sentiment': 'neutral'}",0.15151515151515882,"Range:7.13%, Buffer:$-0.66",OTM
20240611,balanced_put_sale,5.000000000004548,1.325000000004526,3.6750000000000225,1,ASSIGNED,537.0,0.1,536.95,"{'favorable': True, 'daily_return': 0.19219286460667387, 'daily_range': 2.058143006418885, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",2.000000000001819,"Range:2.06%, Buffer:$0.05",ITM
20240612,balanced_put_sale,12.0,8.29,3.710000000000001,1,EXPIRED_WORTHLESS,541.0,0.12,541.36,"{'favorable': True, 'daily_return': 0.7650069799906959, 'daily_range': 2.0846905537459155, 'volatility_level': 'MODERATE', 'market_sentiment': 'bullish'}",0.3333333333333207,"Range:2.08%, Buffer:$-0.36",OTM
20240614,balanced_put_sale,35.000000000002274,31.175000000002264,3.82500000000001,1,ASSIGNED,543.0,0.5,542.85,"{'favorable': True, 'daily_return': 0.018424689083375908, 'daily_range': 0.816213726393358, 'volatility_level': 'LOW', 'market_sentiment': 'neutral'}",3.3333333333338384,"Range:0.82%, Buffer:$0.15",ITM
20240617,balanced_put_sale,24.0,20.23,3.7699999999999996,1,EXPIRED_WORTHLESS,547.0,0.24,547.1,"{'favorable': True, 'daily_return': 0.7959025756291775, 'daily_range': 2.9090976086075324, 'volatility_level': 'MODERATE', 'market_sentiment': 'bullish'}",2.399999999999454,"Range:2.91%, Buffer:$-0.10",OTM
20240618,balanced_put_sale,-4.999999999999089,-8.674999999999084,3.6749999999999954,1,ASSIGNED,549.0,0.46,548.49,"{'favorable': True, 'daily_return': 0.25406689819045625, 'daily_range': 0.4331932005117903, 'volatility_level': 'LOW', 'market_sentiment': 'neutral'}",0.9019607843137416,"Range:0.43%, Buffer:$0.51",ITM
20240620,balanced_put_sale,35.0,31.175,3.8249999999999993,1,EXPIRED_WORTHLESS,547.0,0.35,547.17,"{'favorable': True, 'daily_return': -0.5362466370973689, 'daily_range': 1.1070311931942178, 'volatility_level': 'MODERATE', 'market_sentiment': 'bearish'}",2.05882352941226,"Range:1.11%, Buffer:$-0.17",OTM
20240625,balanced_put_sale,12.000000000004091,8.29000000000407,3.7100000000000204,1,ASSIGNED,545.0,0.29,544.83,"{'favorable': True, 'daily_return': 0.30561334388866873, 'daily_range': 1.0586004381685292, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",1.705882352941587,"Range:1.06%, Buffer:$0.17",ITM
20240626,balanced_put_sale,45.0,41.125,3.875,1,EXPIRED_WORTHLESS,545.0,0.45,545.51,"{'favorable': True, 'daily_return': 0.016501045066193362, 'daily_range': 7.064280737780054, 'volatility_level': 'HIGH', 'market_sentiment': 'neutral'}",0.8823529411764863,"Range:7.06%, Buffer:$-0.51",OTM
